2025-03-31 01:24:07,883 - DenseNet Training started...
2025-03-31 01:24:08,644 - DenseNet model loaded from densenet_model.pth
2025-03-31 01:25:51,858 - Epoch 1/32, Training Loss: 0.0368
2025-03-31 01:25:58,247 - Epoch 1/32, Validation Accuracy: 81.80%
2025-03-31 01:27:39,216 - Epoch 2/32, Training Loss: 0.0498
2025-03-31 01:27:45,657 - Epoch 2/32, Validation Accuracy: 83.96%
2025-03-31 01:29:35,787 - Epoch 3/32, Training Loss: 0.0118
2025-03-31 01:29:42,396 - Epoch 3/32, Validation Accuracy: 86.50%
2025-03-31 01:31:21,995 - Epoch 4/32, Training Loss: 0.0213
2025-03-31 01:31:28,144 - Epoch 4/32, Validation Accuracy: 84.62%
2025-03-31 01:33:02,641 - Epoch 5/32, Training Loss: 0.0751
2025-03-31 01:33:08,698 - Epoch 5/32, Validation Accuracy: 82.63%
2025-03-31 01:34:43,592 - Epoch 6/32, Training Loss: 0.0225
2025-03-31 01:34:49,607 - Epoch 6/32, Validation Accuracy: 80.75%
2025-03-31 01:36:24,213 - Epoch 7/32, Training Loss: 0.0184
2025-03-31 01:36:30,311 - Epoch 7/32, Validation Accuracy: 82.74%
2025-03-31 01:38:04,780 - Epoch 8/32, Training Loss: 0.0253
2025-03-31 01:38:10,764 - Epoch 8/32, Validation Accuracy: 83.76%
2025-03-31 01:39:45,691 - Epoch 9/32, Training Loss: 0.0162
2025-03-31 01:39:51,685 - Epoch 9/32, Validation Accuracy: 82.19%
2025-03-31 01:41:26,258 - Epoch 10/32, Training Loss: 0.0045
2025-03-31 01:41:32,342 - Epoch 10/32, Validation Accuracy: 83.07%
2025-03-31 01:43:07,284 - Epoch 11/32, Training Loss: 0.0007
2025-03-31 01:43:13,351 - Epoch 11/32, Validation Accuracy: 81.83%
2025-03-31 01:44:48,076 - Epoch 12/32, Training Loss: 0.0002
2025-03-31 01:44:54,102 - Epoch 12/32, Validation Accuracy: 83.57%
2025-03-31 01:46:28,573 - Epoch 13/32, Training Loss: 0.0001
2025-03-31 01:46:34,579 - Epoch 13/32, Validation Accuracy: 83.49%
2025-03-31 01:48:10,142 - Epoch 14/32, Training Loss: 0.0205
2025-03-31 01:48:16,192 - Epoch 14/32, Validation Accuracy: 82.90%
2025-03-31 01:49:51,169 - Epoch 15/32, Training Loss: 0.0252
2025-03-31 01:49:57,180 - Epoch 15/32, Validation Accuracy: 81.96%
2025-03-31 01:51:32,042 - Epoch 16/32, Training Loss: 0.0238
2025-03-31 01:51:38,114 - Epoch 16/32, Validation Accuracy: 81.83%
2025-03-31 01:53:13,222 - Epoch 17/32, Training Loss: 0.0184
2025-03-31 01:53:19,337 - Epoch 17/32, Validation Accuracy: 79.75%
2025-03-31 01:54:53,776 - Epoch 18/32, Training Loss: 0.0211
2025-03-31 01:54:59,745 - Epoch 18/32, Validation Accuracy: 83.51%
2025-03-31 01:56:34,448 - Epoch 19/32, Training Loss: 0.0100
2025-03-31 01:56:40,405 - Epoch 19/32, Validation Accuracy: 83.71%
2025-03-31 01:58:15,532 - Epoch 20/32, Training Loss: 0.0150
2025-03-31 01:58:21,604 - Epoch 20/32, Validation Accuracy: 84.95%
2025-03-31 01:59:57,019 - Epoch 21/32, Training Loss: 0.0302
2025-03-31 02:00:03,106 - Epoch 21/32, Validation Accuracy: 83.54%
2025-03-31 02:01:37,823 - Epoch 22/32, Training Loss: 0.0174
2025-03-31 02:01:43,833 - Epoch 22/32, Validation Accuracy: 85.09%
2025-03-31 02:03:18,355 - Epoch 23/32, Training Loss: 0.0179
2025-03-31 02:03:24,459 - Epoch 23/32, Validation Accuracy: 79.11%
2025-03-31 02:04:59,187 - Epoch 24/32, Training Loss: 0.0024
2025-03-31 02:05:05,281 - Epoch 24/32, Validation Accuracy: 78.53%
2025-03-31 02:06:40,626 - Epoch 25/32, Training Loss: 0.0359
2025-03-31 02:06:46,642 - Epoch 25/32, Validation Accuracy: 72.48%
2025-03-31 02:08:21,146 - Epoch 26/32, Training Loss: 0.0156
2025-03-31 02:08:27,202 - Epoch 26/32, Validation Accuracy: 79.61%
2025-03-31 02:10:01,770 - Epoch 27/32, Training Loss: 0.0228
2025-03-31 02:10:07,870 - Epoch 27/32, Validation Accuracy: 78.64%
2025-03-31 02:11:42,758 - Epoch 28/32, Training Loss: 0.0206
2025-03-31 02:11:48,826 - Epoch 28/32, Validation Accuracy: 81.60%
2025-03-31 02:13:23,809 - Epoch 29/32, Training Loss: 0.0213
2025-03-31 02:13:29,808 - Epoch 29/32, Validation Accuracy: 81.91%
2025-03-31 02:15:04,416 - Epoch 30/32, Training Loss: 0.0128
2025-03-31 02:15:10,567 - Epoch 30/32, Validation Accuracy: 78.78%
2025-03-31 02:16:44,941 - Epoch 31/32, Training Loss: 0.0189
2025-03-31 02:16:50,901 - Epoch 31/32, Validation Accuracy: 76.63%
2025-03-31 02:18:25,441 - Epoch 32/32, Training Loss: 0.0216
2025-03-31 02:18:31,459 - Epoch 32/32, Validation Accuracy: 79.67%
2025-03-31 02:18:31,550 - DenseNet model saved to densenet_model.pth
2025-03-31 02:18:31,550 - Training completed in 54m 23s
