2025-03-27 16:05:47,994 - Training started...
2025-03-27 16:05:49,129 - Model loaded from model.pth
2025-03-27 16:06:15,398 - Epoch 1/16, Training Loss: 0.0216
2025-03-27 16:06:19,221 - Epoch 1/16, Validation Accuracy: 0.45
2025-03-27 16:06:46,207 - Epoch 2/16, Training Loss: 0.0228
2025-03-27 16:06:50,072 - Epoch 2/16, Validation Accuracy: 0.44
2025-03-27 16:07:16,954 - Epoch 3/16, Training Loss: 0.0162
2025-03-27 16:07:20,794 - Epoch 3/16, Validation Accuracy: 0.42
2025-03-27 16:07:47,705 - Epoch 4/16, Training Loss: 0.0176
2025-03-27 16:07:51,718 - Epoch 4/16, Validation Accuracy: 0.44
2025-03-27 16:08:18,635 - Epoch 5/16, Training Loss: 0.0196
2025-03-27 16:08:22,575 - Epoch 5/16, Validation Accuracy: 0.44
2025-03-27 16:08:49,521 - Epoch 6/16, Training Loss: 0.0124
2025-03-27 16:08:53,459 - Epoch 6/16, Validation Accuracy: 0.49
2025-03-27 16:09:20,189 - Epoch 7/16, Training Loss: 0.0414
2025-03-27 16:09:24,228 - Epoch 7/16, Validation Accuracy: 0.42
2025-03-27 16:09:51,051 - Epoch 8/16, Training Loss: 0.0075
2025-03-27 16:09:54,964 - Epoch 8/16, Validation Accuracy: 0.45
2025-03-27 16:10:21,940 - Epoch 9/16, Training Loss: 0.0064
2025-03-27 16:10:25,902 - Epoch 9/16, Validation Accuracy: 0.46
2025-03-27 16:10:53,211 - Epoch 10/16, Training Loss: 0.0038
2025-03-27 16:10:57,100 - Epoch 10/16, Validation Accuracy: 0.46
2025-03-27 16:11:23,865 - Epoch 11/16, Training Loss: 0.0244
2025-03-27 16:11:27,649 - Epoch 11/16, Validation Accuracy: 0.43
2025-03-27 16:11:54,395 - Epoch 12/16, Training Loss: 0.0183
2025-03-27 16:11:58,226 - Epoch 12/16, Validation Accuracy: 0.44
2025-03-27 16:12:25,180 - Epoch 13/16, Training Loss: 0.0099
2025-03-27 16:12:29,079 - Epoch 13/16, Validation Accuracy: 0.45
2025-03-27 16:12:56,177 - Epoch 14/16, Training Loss: 0.0308
2025-03-27 16:13:00,014 - Epoch 14/16, Validation Accuracy: 0.45
2025-03-27 16:13:44,778 - Epoch 15/16, Training Loss: 0.0087
2025-03-27 16:14:05,023 - Epoch 15/16, Validation Accuracy: 0.44
2025-03-27 16:15:50,946 - Epoch 16/16, Training Loss: 0.0116
2025-03-27 16:15:55,155 - Epoch 16/16, Validation Accuracy: 0.45
2025-03-27 16:15:55,211 - Model saved to model.pth
2025-03-27 16:15:55,211 - Training completed in 10 minutes and 6 seconds.
