2025-03-31 19:36:26,367 - Training started...
2025-03-31 19:43:12,724 - Epoch 1/32, Training Loss: 0.4770
2025-03-31 19:43:20,330 - Epoch 1/32, Validation Accuracy: 0.88
2025-03-31 19:47:54,366 - Epoch 2/32, Training Loss: 0.2584
2025-03-31 19:48:01,596 - Epoch 2/32, Validation Accuracy: 0.91
2025-03-31 19:52:32,974 - Epoch 3/32, Training Loss: 0.2091
2025-03-31 19:52:40,182 - Epoch 3/32, Validation Accuracy: 0.91
2025-03-31 19:57:09,201 - Epoch 4/32, Training Loss: 0.1809
2025-03-31 19:57:16,316 - Epoch 4/32, Validation Accuracy: 0.91
2025-03-31 20:01:44,446 - Epoch 5/32, Training Loss: 0.1656
2025-03-31 20:01:51,641 - Epoch 5/32, Validation Accuracy: 0.94
2025-03-31 20:06:19,842 - Epoch 6/32, Training Loss: 0.1530
2025-03-31 20:06:26,995 - Epoch 6/32, Validation Accuracy: 0.91
2025-03-31 20:10:55,126 - Epoch 7/32, Training Loss: 0.1445
2025-03-31 20:11:02,290 - Epoch 7/32, Validation Accuracy: 0.94
2025-03-31 20:15:35,324 - Epoch 8/32, Training Loss: 0.1442
2025-03-31 20:15:42,479 - Epoch 8/32, Validation Accuracy: 0.94
2025-03-31 20:20:14,865 - Epoch 9/32, Training Loss: 0.1294
2025-03-31 20:20:22,091 - Epoch 9/32, Validation Accuracy: 0.93
2025-03-31 20:24:58,218 - Epoch 10/32, Training Loss: 0.1287
2025-03-31 20:25:05,139 - Epoch 10/32, Validation Accuracy: 0.94
2025-03-31 20:29:21,079 - Epoch 11/32, Training Loss: 0.1222
2025-03-31 20:29:27,891 - Epoch 11/32, Validation Accuracy: 0.94
2025-03-31 20:33:42,266 - Epoch 12/32, Training Loss: 0.1208
2025-03-31 20:33:49,188 - Epoch 12/32, Validation Accuracy: 0.93
2025-03-31 20:38:15,766 - Epoch 13/32, Training Loss: 0.1459
2025-03-31 20:38:22,970 - Epoch 13/32, Validation Accuracy: 0.94
2025-03-31 20:43:00,175 - Epoch 14/32, Training Loss: 0.1210
2025-03-31 20:43:07,605 - Epoch 14/32, Validation Accuracy: 0.94
2025-03-31 20:47:39,266 - Epoch 15/32, Training Loss: 0.1081
2025-03-31 20:47:46,630 - Epoch 15/32, Validation Accuracy: 0.94
2025-03-31 20:52:15,530 - Epoch 16/32, Training Loss: 0.1120
2025-03-31 20:52:22,667 - Epoch 16/32, Validation Accuracy: 0.94
2025-03-31 20:56:51,072 - Epoch 17/32, Training Loss: 0.1098
2025-03-31 20:56:58,385 - Epoch 17/32, Validation Accuracy: 0.94
2025-03-31 21:01:26,149 - Epoch 18/32, Training Loss: 0.1085
2025-03-31 21:01:33,292 - Epoch 18/32, Validation Accuracy: 0.95
2025-03-31 21:06:01,597 - Epoch 19/32, Training Loss: 0.1061
2025-03-31 21:06:08,706 - Epoch 19/32, Validation Accuracy: 0.95
2025-03-31 21:10:38,274 - Epoch 20/32, Training Loss: 0.1040
2025-03-31 21:10:45,368 - Epoch 20/32, Validation Accuracy: 0.94
2025-03-31 21:15:13,340 - Epoch 21/32, Training Loss: 0.1007
2025-03-31 21:15:20,623 - Epoch 21/32, Validation Accuracy: 0.95
2025-03-31 21:19:50,201 - Epoch 22/32, Training Loss: 0.0992
2025-03-31 21:19:57,454 - Epoch 22/32, Validation Accuracy: 0.94
2025-03-31 21:24:28,030 - Epoch 23/32, Training Loss: 0.0939
2025-03-31 21:24:35,229 - Epoch 23/32, Validation Accuracy: 0.94
2025-03-31 21:29:04,960 - Epoch 24/32, Training Loss: 0.0927
2025-03-31 21:29:12,071 - Epoch 24/32, Validation Accuracy: 0.95
2025-03-31 21:33:41,128 - Epoch 25/32, Training Loss: 0.0868
2025-03-31 21:33:48,453 - Epoch 25/32, Validation Accuracy: 0.94
2025-03-31 21:38:16,762 - Epoch 26/32, Training Loss: 0.0812
2025-03-31 21:38:23,914 - Epoch 26/32, Validation Accuracy: 0.95
2025-03-31 21:42:53,592 - Epoch 27/32, Training Loss: 0.0732
2025-03-31 21:43:00,820 - Epoch 27/32, Validation Accuracy: 0.95
2025-03-31 21:47:30,940 - Epoch 28/32, Training Loss: 0.0655
2025-03-31 21:47:38,124 - Epoch 28/32, Validation Accuracy: 0.95
2025-03-31 21:52:07,376 - Epoch 29/32, Training Loss: 0.0553
2025-03-31 21:52:14,747 - Epoch 29/32, Validation Accuracy: 0.96
2025-03-31 21:56:43,990 - Epoch 30/32, Training Loss: 0.0468
2025-03-31 21:56:51,126 - Epoch 30/32, Validation Accuracy: 0.95
2025-03-31 22:01:19,201 - Epoch 31/32, Training Loss: 0.0410
2025-03-31 22:01:26,398 - Epoch 31/32, Validation Accuracy: 0.95
2025-03-31 22:05:56,066 - Epoch 32/32, Training Loss: 0.0347
2025-03-31 22:06:03,356 - Epoch 32/32, Validation Accuracy: 0.94
2025-03-31 22:06:04,310 - Model saved to model.pth
2025-03-31 22:06:04,310 - Training completed in 149 minutes and 37 seconds.
