2025-03-02 13:46:33,340 - Training started...
2025-03-02 13:48:41,944 - Epoch 1/16, Training Loss: 0.2664
2025-03-02 13:49:05,674 - Epoch 1/16, Validation Accuracy: 0.61
2025-03-02 13:49:22,012 - Epoch 2/16, Training Loss: 0.0971
2025-03-02 13:49:24,519 - Epoch 2/16, Validation Accuracy: 0.61
2025-03-02 13:49:40,563 - Epoch 3/16, Training Loss: 0.0503
2025-03-02 13:49:43,032 - Epoch 3/16, Validation Accuracy: 0.63
2025-03-02 13:49:58,915 - Epoch 4/16, Training Loss: 0.0534
2025-03-02 13:50:01,424 - Epoch 4/16, Validation Accuracy: 0.61
2025-03-02 13:50:17,587 - Epoch 5/16, Training Loss: 0.0246
2025-03-02 13:50:20,143 - Epoch 5/16, Validation Accuracy: 0.74
2025-03-02 13:50:35,969 - Epoch 6/16, Training Loss: 0.0336
2025-03-02 13:50:38,388 - Epoch 6/16, Validation Accuracy: 0.71
2025-03-02 13:50:53,973 - Epoch 7/16, Training Loss: 0.0207
2025-03-02 13:50:56,434 - Epoch 7/16, Validation Accuracy: 0.72
2025-03-02 13:51:12,273 - Epoch 8/16, Training Loss: 0.0260
2025-03-02 13:51:14,846 - Epoch 8/16, Validation Accuracy: 0.60
2025-03-02 13:51:31,396 - Epoch 9/16, Training Loss: 0.0253
2025-03-02 13:51:33,784 - Epoch 9/16, Validation Accuracy: 0.72
2025-03-02 13:51:49,995 - Epoch 10/16, Training Loss: 0.0237
2025-03-02 13:51:52,459 - Epoch 10/16, Validation Accuracy: 0.68
2025-03-02 13:52:08,251 - Epoch 11/16, Training Loss: 0.0159
2025-03-02 13:52:10,663 - Epoch 11/16, Validation Accuracy: 0.64
2025-03-02 13:52:26,404 - Epoch 12/16, Training Loss: 0.0147
2025-03-02 13:52:28,845 - Epoch 12/16, Validation Accuracy: 0.65
2025-03-02 13:52:44,248 - Epoch 13/16, Training Loss: 0.0167
2025-03-02 13:52:46,648 - Epoch 13/16, Validation Accuracy: 0.59
2025-03-02 13:53:02,113 - Epoch 14/16, Training Loss: 0.0121
2025-03-02 13:53:04,541 - Epoch 14/16, Validation Accuracy: 0.53
2025-03-02 13:53:20,330 - Epoch 15/16, Training Loss: 0.0243
2025-03-02 13:53:22,747 - Epoch 15/16, Validation Accuracy: 0.61
2025-03-02 13:53:38,503 - Epoch 16/16, Training Loss: 0.0112
2025-03-02 13:53:40,931 - Epoch 16/16, Validation Accuracy: 0.65
2025-03-02 13:53:40,997 - Model saved to model.pth
2025-03-02 13:53:40,997 - Training completed in 7 minutes and 7 seconds.
